Matriz;Legislação;Classe;Grupo;Parâmetro B.D.;Parâmetro;Unidade;Min;Max;Obs
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;LINDANO (G-HCH/G-BHC);Lindano (g-HCH);µg/L;;0.02;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;LITIO TOTAL;Lítio total;mg/L;;2.5;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;MALATION;Malation;µg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;MANGANES TOTAL;Manganês total;mg/L;;0.1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;MATERIAIS FLUTUANTES;Materiais flutuantes;P/A;;0.0001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;MERCURIO TOTAL;Mercúrio total;mg/L;;0.0002;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;METOLACLORO;Metolacloro;µg/L;;10;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;METOXICLORO;Metoxicloro;µg/L;;0.03;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;NIQUEL TOTAL;Níquel total;mg/L;;0.025;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;NITRATO COMO N;Nitrato como N;mg/L;;10;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;NITRITO COMO N;Nitrito como N;mg/L;;1;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;ODOR;Substâncias que comuniquem gosto ou odor;P/A;;0;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;OLEOS E GRAXAS VISIVEIS;Óleos e Graxas visíveis;P/A;;0;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;OXIGENIO DISSOLVIDO;Oxigênio dissolvido;mg/L;5;;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;P,P-DDT + P,P-DDD + P,P-DDE;DDT (p.p'-DDT + p.p'-DDE + p.p'-DDD);µg/L;;0.002;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;PARATION;Paration;µg/L;;0.04;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;PCBS;PCB´s - Bifenilas Policloradas;µg/L;;0.001;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;PENTACLOROFENOL;Pentaclorofenol;mg/L;;0.009;
Água Superficial;Limite CONAMA nº 357/2005;Classe 2;;PH;pH;-;6;9;
